Station,Direction,Year,Month,Day,Time_Period,Volume,OBJECTID
130032 Washington,Outbound,2017,January,Friday,1-2 PM,1448,277
130032 Washington,Outbound,2017,January,Friday,2-3 PM,1654,278
130032 Washington,Outbound,2017,January,Friday,3-4 PM,2049,279
130032 Washington,Outbound,2017,January,Friday,4-5 PM,2502,280
130032 Washington,Outbound,2017,January,Friday,5-6 PM,2208,281
130032 Washington,Outbound,2017,January,Friday,6-7 PM,1328,282
130032 Washington,Outbound,2017,January,Friday,7-8 PM,973,283
130032 Washington,Outbound,2017,January,Friday,8-9 PM,860,284
130032 Washington,Outbound,2017,January,Friday,9-10 PM,790,285
130032 Washington,Outbound,2017,January,Friday,10-11 PM,779,286
130032 Washington,Outbound,2017,January,Friday,11-12 PM,527,287
130032 Washington,Outbound,2017,January,Saturday,12-1 AM,431,288
130032 Washington,Outbound,2017,January,Saturday,1-2 AM,290,289
130032 Washington,Outbound,2017,January,Saturday,2-3 AM,279,290
130032 Washington,Outbound,2017,January,Saturday,3-4 AM,144,291
130032 Washington,Outbound,2017,January,Saturday,4-5 AM,95,292
130032 Washington,Outbound,2017,January,Saturday,5-6 AM,112,293
130032 Washington,Outbound,2017,January,Saturday,6-7 AM,222,294
130032 Washington,Outbound,2017,January,Saturday,7-8 AM,404,295
130032 Washington,Outbound,2017,January,Saturday,8-9 AM,573,296
130032 Washington,Outbound,2017,January,Saturday,9-10 AM,809,297
130032 Washington,Outbound,2017,January,Saturday,10-11 AM,1025,298
130032 Washington,Outbound,2017,January,Saturday,11-12 AM,1273,299
130032 Washington,Outbound,2017,January,Saturday,12-1 PM,1439,300
130032 Washington,Outbound,2017,January,Saturday,1-2 PM,1436,301
130032 Washington,Outbound,2017,January,Saturday,2-3 PM,1476,302
130032 Washington,Outbound,2017,January,Saturday,3-4 PM,1486,303
130032 Washington,Outbound,2017,January,Saturday,4-5 PM,1458,304
130032 Washington,Outbound,2017,January,Saturday,5-6 PM,1154,305
130032 Washington,Outbound,2017,January,Saturday,6-7 PM,1066,306
130032 Washington,Outbound,2017,January,Saturday,7-8 PM,917,307
130032 Washington,Outbound,2017,January,Saturday,8-9 PM,740,308
130032 Washington,Outbound,2017,January,Saturday,9-10 PM,938,309
130032 Washington,Outbound,2017,January,Saturday,10-11 PM,761,310
130032 Washington,Outbound,2017,January,Saturday,11-12 PM,644,311
130032 Washington,Outbound,2017,January,Sunday,12-1 AM,393,312
130032 Washington,Outbound,2017,January,Sunday,1-2 AM,315,313
130032 Washington,Outbound,2017,January,Sunday,2-3 AM,289,314
130032 Washington,Outbound,2017,January,Sunday,3-4 AM,143,315
130032 Washington,Outbound,2017,January,Sunday,4-5 AM,85,316
130032 Washington,Outbound,2017,January,Sunday,5-6 AM,89,317
130032 Washington,Outbound,2017,January,Sunday,6-7 AM,149,318
130032 Washington,Outbound,2017,January,Sunday,7-8 AM,265,319
130032 Washington,Outbound,2017,January,Sunday,8-9 AM,386,320
130032 Washington,Outbound,2017,January,Sunday,9-10 AM,564,321
130032 Washington,Outbound,2017,January,Sunday,10-11 AM,904,322
130032 Washington,Outbound,2017,January,Sunday,11-12 AM,1016,323
130032 Washington,Outbound,2017,January,Sunday,12-1 PM,1207,324
130032 Washington,Outbound,2017,January,Sunday,1-2 PM,1131,325
130032 Washington,Outbound,2017,January,Sunday,2-3 PM,1180,326
130032 Washington,Outbound,2017,January,Sunday,3-4 PM,1490,327
130032 Washington,Outbound,2017,January,Sunday,4-5 PM,1222,328
130032 Washington,Outbound,2017,January,Sunday,5-6 PM,1001,329
130032 Washington,Outbound,2017,January,Sunday,6-7 PM,802,330
