rank,cross_1,cross_2,impact_index,generated_time,agent_range,agent_interval
253,Crystal,Diamond,-0.10406430431963744,2020-10-11 20:36:29.231301,0.6,0.05
254,Turner,Pflaum,-0.10420975275052753,2020-10-11 20:36:29.231301,0.6,0.05
255,Roth,Ruskin,-0.10439147946759042,2020-10-11 20:36:29.231301,0.6,0.05
256,Winnebago,Linden,-0.10578125308916421,2020-10-11 20:36:29.231301,0.6,0.05
257,Regent,Meadow,-0.1061321893017052,2020-10-11 20:36:29.231301,0.6,0.05
258,Carnwood,Muir Field,-0.10667821755205228,2020-10-11 20:36:29.231301,0.6,0.05
259,Verona E,Atticus,-0.10669562790388931,2020-10-11 20:36:29.231301,0.6,0.05
260,Highland,Marsh,-0.10679258219315035,2020-10-11 20:36:29.231301,0.6,0.05
261,Schroeder,Forward,-0.10680696886306237,2020-10-11 20:36:29.231301,0.6,0.05
262,Excelsior,John Deere,-0.10717163501878336,2020-10-11 20:36:29.231301,0.6,0.05
263,Milwaukee,N Thompson,-0.10785068866580903,2020-10-11 20:36:29.231301,0.6,0.05
264,W Washington,S Bedford,-0.10798217458685899,2020-10-11 20:36:29.231301,0.6,0.05
265,Mineral Point,S Gammon,-0.10812796346877106,2020-10-11 20:36:29.231301,0.6,0.05
266,S Whitney,Westgate,-0.10957188056860878,2020-10-11 20:36:29.231301,0.6,0.05
267,Fourier,La Petite,-0.11123064662144728,2020-10-11 20:36:29.231301,0.6,0.05
268,Regent,Glen,-0.11143193795843064,2020-10-11 20:36:29.231301,0.6,0.05
269,Reetz,Flad,-0.11241856110288848,2020-10-11 20:36:29.231301,0.6,0.05
270,Regent,N Breese,-0.11272211397661923,2020-10-11 20:36:29.231301,0.6,0.05
271,Old Middleton,N Whitney,-0.11342007990373122,2020-10-11 20:36:29.231301,0.6,0.05
272,W Wilson,S Carroll,-0.11353671840765533,2020-10-11 20:36:29.231301,0.6,0.05
273,N Thompson,Oak Valley,-0.1142104018026115,2020-10-11 20:36:29.231301,0.6,0.05
274,University,Walnut,-0.11493973255267884,2020-10-11 20:36:29.231301,0.6,0.05
275,Odana,Burlington Coat,-0.11609108425472738,2020-10-11 20:36:29.231301,0.6,0.05
276,Odana,Frederick,-0.11669465775316519,2020-10-11 20:36:29.231301,0.6,0.05
277,Reetz,Black Oak,-0.11769123144564508,2020-10-11 20:36:29.231301,0.6,0.05
278,Capital,Baker,-0.11828313686111369,2020-10-11 20:36:29.231301,0.6,0.05
279,S Park,Meriter,-0.11866616158334428,2020-10-11 20:36:29.231301,0.6,0.05
280,Milwaukee,S Marquette,-0.12031358149906173,2020-10-11 20:36:29.231301,0.6,0.05
281,Sheboygan,N Segoe,-0.12113729075175347,2020-10-11 20:36:29.231301,0.6,0.05
282,N Thompson,Sycamore,-0.12139046974092647,2020-10-11 20:36:29.231301,0.6,0.05
283,N Franklin,University,-0.1221391185163099,2020-10-11 20:36:29.231301,0.6,0.05
284,International,Economy Lot,-0.12234870900979078,2020-10-11 20:36:29.231301,0.6,0.05
285,Park Lawn,Franklin,-0.12247785568817289,2020-10-11 20:36:29.231301,0.6,0.05
286,W Washington,N Bassett,-0.12274335241428086,2020-10-11 20:36:29.231301,0.6,0.05
287,Anniversary,Hayes,-0.12305185047403341,2020-10-11 20:36:29.231301,0.6,0.05
288,S First,E Main,-0.12312946838361714,2020-10-11 20:36:29.231301,0.6,0.05
289,Lake Point,Weber,-0.12329615151433164,2020-10-11 20:36:29.231301,0.6,0.05
290,North,Hoard,-0.12365644273033627,2020-10-11 20:36:29.231301,0.6,0.05
291,S Bassett,W Washington,-0.12397175130672458,2020-10-11 20:36:29.231301,0.6,0.05
292,Old Middleton,Old Sauk,-0.12451994059132028,2020-10-11 20:36:29.231301,0.6,0.05
293,Regent,N Park,-0.12548125226490453,2020-10-11 20:36:29.231301,0.6,0.05
294,N Park,University,-0.12583050465562506,2020-10-11 20:36:29.231301,0.6,0.05
295,Excelsior,Deming,-0.12660340462717984,2020-10-11 20:36:29.231301,0.6,0.05
296,Babcock,Linden,-0.1267279359425335,2020-10-11 20:36:29.231301,0.6,0.05
297,Mineral Point,Randolph,-0.12921962781948118,2020-10-11 20:36:29.231301,0.6,0.05
298,Northport,School,-0.13008202781692269,2020-10-11 20:36:29.231301,0.6,0.05
299,University,Park,-0.1317352809375879,2020-10-11 20:36:29.231301,0.6,0.05
300,E Johnson,N Seventh,-0.13177781372986064,2020-10-11 20:36:29.231301,0.6,0.05
