X,Y,OBJECTID,IntersectionID,InterDescription,Lat,Lon,Weekday,Saturday,Sunday,Weekday_1_79,Saturday_1_79,Sunday_1_79,WkdCash,WkdSvc,WkdBdPerSvc,DotSize
-89.4971069424947,43.0359770688823,1322,310,,43.035985,-89.497113,4.67,2.67,2.33,0,0,0,0,0,0,23347.55
-89.4435789581283,43.0360820660057,1323,311,,43.03609,-89.443585,4.34,0,0,0,0,0,0,0,0,21691.13
-89.4610589526298,43.0363410667793,1324,312,,43.036349,-89.461065,1.13,0,0,0,0,0,0,0,0,5629.8
-89.4052639691459,43.0365620636173,1325,313,,43.03657,-89.40527,17.17,5.01,5.71,0,0,0,0,0,0,85832.27
-89.4467129564308,43.0377420656766,1326,314,,43.03775,-89.446719,3.45,0,0,0,0,0,0,0,0,17241.67
-89.4997709414892,43.0384640687533,1327,315,,43.038472,-89.499777,10.89,3.67,3.33,0,0,0,0,0,0,54470.09
-89.3973359718553,43.0385310636825,1328,316,,43.038539,-89.397342,38.29,14.05,15.02,0,0,0,0,0,0,191438.02
-89.4015159705662,43.0385810633516,1329,317,,43.038589,-89.401522,43.42,14.06,8.34,0,0,0,0,0,0,217090.42
-89.4965939426819,43.0389900686246,1330,318,,43.038998,-89.4966,0.22,0,0,0,0,0,0,0,0,1111.45
-89.4610939525658,43.0390640668156,1331,319,,43.039072,-89.4611,3.37,3.7,1.67,0,0,0,0,0,0,16835.72
-89.4640209518434,43.0390890666871,1332,320,,43.039097,-89.464027,7.19,0.67,1,0,0,0,0,0,0,35951.99
-89.467089950713,43.0391070673226,1333,321,,43.039115,-89.467096,2.02,1.01,0.67,0,0,0,0,0,0,10087.12
-89.4885259442131,43.0391240684947,1334,322,,43.039132,-89.488532,12.92,6.33,5.67,0,0,0,0,0,0,64580.33
-89.5027319406804,43.0391290689564,1335,323,,43.039137,-89.502738,8.89,4,2.33,0,0,0,0,0,0,44467.76
-89.4487889562306,43.0400990661929,1336,324,,43.040107,-89.448795,2.56,0,0,0,0,0,0,0,0,12792.2
-89.3743329779436,43.0413860612499,1337,325,,43.041394,-89.374339,0.45,0,0,0,0,0,0,0,0,2230.54
-89.5049049398935,43.0414950688862,1338,326,,43.041503,-89.504911,27.9,12.33,9.67,0,0,0,0,0,0,139520.35
-89.4039189689866,43.0415710632679,1339,327,,43.041579,-89.403925,23.53,4.02,8,0,0,0,0,0,0,117668.97
-89.4774769479894,43.0416520671489,1340,328,,43.04166,-89.477483,9.51,1.68,1.67,0,0,0,0,0,0,47532.03
-89.3939969723712,43.0417540624484,1341,329,,43.041762,-89.394003,75.61,23.69,15.37,0,0,0,0,0,0,378070.18
-89.3918929723768,43.0430510621902,1342,330,,43.043059,-89.391899,11.71,8.69,4.38,0,0,0,0,0,0,58533.49
-89.4875129440426,43.0437930677507,1343,331,,43.043801,-89.487519,0.67,0,0,0,0,0,0,0,0,3334.34
-89.3857189739871,43.0441590612629,1344,332,,43.044167,-89.385725,3.04,1.34,1.35,0,0,0,0,0,0,15196.2
-89.4438159577303,43.0439060647381,1345,333,,43.043914,-89.443822,11.9,0,0,0,0,0,0,0,0,59511.56
-89.4737499484987,43.0443950661557,1346,334,,43.044403,-89.473756,18.35,9.04,5.33,0,0,0,0,0,0,91772.39
-89.4039139683528,43.0445450630725,1347,335,,43.044553,-89.40392,35.24,15.07,6.67,0,0,0,0,0,0,176214.39
-89.4511469542426,43.0457770648181,1348,336,,43.045785,-89.451153,0,0,0,0,0,0,0,0,0,0
-89.5031899399901,43.0462180676907,1349,337,,43.046226,-89.503196,17.12,10,4,0,0,0,0,0,0,85601.7
-89.4965649418932,43.0462610678794,1350,338,,43.046269,-89.496571,10.45,7.67,3.67,0,0,0,0,0,0,52254.05
-89.4938569421691,43.0462830669799,1351,339,,43.046291,-89.493863,9.23,1.67,1.67,0,0,0,0,0,0,46139.21
-89.4913279433526,43.0462990675897,1352,340,,43.046307,-89.491334,4.34,1,0,0,0,0,0,0,0,21679.19
-89.4888389432043,43.0463060671423,1353,341,,43.046314,-89.488845,16.45,2.33,3,0,0,0,0,0,0,82265.82
-89.4761889477849,43.0463590662974,1354,342,,43.046367,-89.476195,0.78,0,2.67,0,0,0,0,0,0,3890.92
-89.4797319464936,43.0463330668389,1355,343,,43.046341,-89.479738,22.01,6.33,4,0,0,0,0,0,0,110055.56
-89.3518239837822,43.0469620589828,1356,344,,43.04697,-89.35183,29.6,13.37,11.08,0,0,0,0,0,0,148021.05
-89.339352987341,43.0481620581041,1357,345,,43.04817,-89.339359,13.13,0,0,0,0,0,0,0,0,65647.69
-89.3446969858319,43.048126059242,1358,346,,43.048134,-89.344703,4.9,0,0,0,0,0,0,0,0,24478.8
-89.4548569528459,43.0497420644855,1359,347,,43.04975,-89.454863,5.12,1.33,0.34,0,0,0,0,0,0,25611.78
-89.3927579717732,43.0498090611804,1360,348,,43.049817,-89.392764,3.78,0,0,0,0,0,0,0,0,18888.89
-89.4581619524168,43.0498560643543,1361,349,,43.049864,-89.458168,6.69,1.33,1.01,0,0,0,0,0,0,33429.39
-89.4710129487708,43.0500180654763,1362,350,,43.050026,-89.471019,39.9,12,8.73,0,0,0,0,0,0,199522.26
-89.4779559462979,43.0500260658851,1363,351,,43.050034,-89.477962,3.68,0,0,0,0,0,0,0,0,18411.64
-89.4370869580657,43.0504070633569,1364,352,,43.050415,-89.437093,1.67,0,0,0,0,0,0,0,0,8342.74
-89.5112579366857,43.0507370674308,1365,353,,43.050745,-89.511264,22.8,5.01,2.33,0,0,0,0,0,0,114014.85
-89.4443179566281,43.0510390642121,1366,354,,43.051047,-89.444324,11.7,0.33,0.67,0,0,0,0,0,0,58481.04
-89.4396019581608,43.0513810630568,1367,355,,43.051389,-89.439608,10.37,0,0.34,0,0,0,0,0,0,51825.6
-89.4814389448281,43.0514330653832,1368,356,,43.051441,-89.481445,10.17,0.67,0.33,0,0,0,0,0,0,50853.94
-89.3990809692738,43.0518290615507,1369,357,,43.051837,-89.399087,40.59,8.04,6,0,0,0,0,0,0,202948.75
-89.390877971444,43.0518800605875,1370,358,,43.051888,-89.390884,0.78,0,0,0,0,0,0,0,0,3888.89
-89.4353269589056,43.0529030628188,1371,359,,43.052911,-89.435333,42.55,13.67,5.37,0,0,0,0,0,0,212740.28
-89.4443069566215,43.0534210635727,1372,360,,43.053429,-89.444313,1.79,1,0.34,0,0,0,0,0,0,8959.1
-89.4478269552083,43.0534960639568,1373,361,,43.053504,-89.447833,4.48,0.33,0.34,0,0,0,0,0,0,22397.74
-89.4419129562305,43.0535240631943,1374,362,,43.053532,-89.441919,3.81,1.33,0,0,0,0,0,0,0,19038.08
-89.4859969439378,43.0535280652531,1375,363,,43.053536,-89.486003,3.83,0,1,0,0,0,0,0,0,19125.3
-89.3870829734591,43.0538340600018,1376,364,,43.053842,-89.387089,16.55,2,3.04,0,0,0,0,0,0,82734.84
-89.3902239724425,43.0539610602977,1377,365,,43.053969,-89.39023,11.64,4.01,3.37,0,0,0,0,0,0,58213.77
-89.3964689701593,43.0539850607769,1378,366,,43.053993,-89.396475,54.47,15.69,9.42,0,0,0,0,0,0,272360.08
-89.4914019422221,43.0550120653484,1379,367,,43.05502,-89.491408,4.5,2.67,1.33,0,0,0,0,0,0,22500.36
-89.2915350006848,43.0563870540918,1380,368,,43.056395,-89.291541,13.4,11.67,4.67,0,0,0,0,0,0,66983.29
-89.5028969381655,43.0566010659546,1381,369,,43.056609,-89.502903,27.97,22.69,12.33,0,0,0,0,0,0,139856.71
-89.5177529342076,43.0568770672524,1382,370,,43.056885,-89.517759,4.57,0,0,0,0,0,0,0,0,22829.14
-89.5141599351073,43.0576530665465,1383,371,,43.057661,-89.514166,20.2,4,6,0,0,0,0,0,0,100975.74
-89.4273509600704,43.0582570619113,1384,372,,43.058265,-89.427357,38.89,8.33,6.04,0,0,0,0,0,0,194460.32
-89.3127099948998,43.0585610552533,1385,373,,43.058569,-89.312716,1.89,0,0,0,0,0,0,0,0,9463.46
-89.4689359487522,43.0593730639774,1386,374,,43.059381,-89.468942,6.61,1,0.33,0,0,0,0,0,0,33036.67
-89.2937989999864,43.0595280545469,1387,375,,43.059536,-89.293805,5.25,2.33,0,0,0,0,0,0,0,26252.13
-89.4272379604211,43.0600570615436,1388,376,,43.060065,-89.427244,4.78,0,0,0,0,0,0,0,0,23915.86
-89.5077949362461,43.0606340654269,1389,377,,43.060642,-89.507801,7.82,2.33,1.67,0,0,0,0,0,0,39075.05
