OBJECTID,ZONING_CODE,ZON_ANNO,PD_ID,ZON_PREFIX,Zoning_Document,Zoning_District,ShapeSTArea,ShapeSTLength
387489,SR-V2, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,165984.790344238,1666.98109848914
387490,PD, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,29978.245513916,700.912438952941
387491,PR, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,156254.691131592,2248.9166230528
387492,CN, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,53600.2430114746,949.796532384826
387493,PD, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,185712.11114502,2070.72634831398
387494,PD, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,10242.1752929688,465.089884690442
387495,TR-V1, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,5995.32989501953,380.009347421562
387496,TR-V2, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,12905.0053710938,526.41261245263
387497,TR-C4, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,46606.1014404297,940.102166246113
387498,PD, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,19936.1466674805,570.717083534834
387499,TSS, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,14536.3919372559,482.479863043045
